p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,name,length,diameter
-1.123196,-0.658922,3.590858,-1.014197,-0.682069,3.407109,a1,0.214896,0.002
-1.051436,-1.937954,3.337051,-0.942461,-1.898143,3.164487,a2,0.207939,0.002
-0.90765,-3.097783,2.749708,-0.791988,-3.052266,2.575994,a3,0.213602,0.002
-0.692391,-3.921859,1.777294,-0.616812,-3.825134,1.648422,a4,0.177977,0.002
-1.014197,-0.682069,3.407109,-0.769331,-0.887905,1.721653,A1,1.715543,0.002
-0.942461,-1.898143,3.164487,-0.731702,-1.532504,1.590653,A2,1.629437,0.002
-0.791988,-3.052266,2.575994,-0.607355,-2.644934,1.01555,A3,1.623267,0.002
-0.616812,-3.825134,1.648422,-0.618402,-2.172485,-0.743695,A4,2.907486,0.002
-0.769331,-0.887905,1.721653,-0.711827,-1.113164,-0.195037,AI,1.930738,0.003
-0.731702,-1.532504,1.590653,-0.711827,-1.113164,-0.195037,AII,1.834374,0.003
-0.607355,-2.644934,1.01555,-0.618402,-2.172485,-0.743695,AIII,1.821612,0.003
-0.711827,-1.113164,-0.195037,-0.633144,-0.941442,-3.901961,amain,3.711733,0.004
-0.618402,-2.172485,-0.743695,-0.633144,-0.941442,-3.901961,amain2,3.389739,0.004
-0.633144,-0.941442,-3.901961,-0.630632,-0.910001,-4.099458,a5.1,0.2,0.005
-0.966125,-0.659453,3.597625,-1.014197,-0.682069,3.407109,b1,0.197785,0.002
-0.901698,-1.939381,3.341088,-0.942461,-1.898143,3.164487,b2,0.185876,0.002
-0.773223,-3.097418,2.749241,-0.791988,-3.052266,2.575994,b3,0.180014,0.002
-0.589225,-3.908574,1.773243,-0.616812,-3.825134,1.648422,b4,0.152655,0.002
-0.362112,-0.670112,3.733556,-0.769331,-0.887905,1.721653,e1,2.064223,0.002
-0.32614,-1.977801,3.449767,-0.731702,-1.532504,1.590653,e2,1.954245,0.002
-0.256835,-3.148563,2.814703,-0.607355,-2.644934,1.01555,e3,1.90091,0.002
1.204082,-0.654966,3.540403,0.473306,-1.155974,-0.902939,br1,4.53082,0.002
1.167853,-1.92072,3.288303,0.473306,-1.155974,-0.902939,br2,4.316681,0.002
1.085876,-3.06996,2.714095,0.396111,-1.921865,-1.309919,br3,4.241059,0.002
0.839226,-3.891515,1.768042,0.396111,-1.921865,-1.309919,br4,3.680993,0.002
0.61538,-4.142726,0.875716,0.630484,-3.821673,0.392361,br5,0.580461,0.002
0.791897,-4.137746,0.864315,0.630484,-3.821673,0.392361,br6,0.590505,0.002
0.473306,-1.155974,-0.902939,0.089481,-1.087879,-3.228214,BR1,2.357724,0.002
0.396111,-1.921865,-1.309919,0.089481,-1.087879,-3.228214,BR2,2.114098,0.002
0.630484,-3.821673,0.392361,-0.021095,-0.954417,-3.906964,BR3,5.208639,0.002
0.089481,-1.087879,-3.228214,-0.021095,-0.954417,-3.906964,BRI,0.700529,0.003
-0.021095,-0.954417,-3.906964,-0.052295,-0.910001,-4.099458,brmain,0.2,0.004
