profile_number,profile_name,t,eta,kappa,delta,c
1,prof_1,0.08805852729442161,0.175,0.095,7.236059407808,1.7211393905471457
2,prof_2,0.08183479490264242,0.175,0.0943989,7.190368107183929,1.980343449174663
3,prof_3,0.08053596122712194,0.175,0.0931918,7.09858931152246,2.12117664453317
4,prof_4,0.07956414448333324,0.175,0.0913686,6.959991849812752,2.2403810303941607
5,prof_5,0.0788201065048211,0.175,0.0889127,6.77307867106407,2.3411412161529257
6,prof_6,0.07824552198289325,0.175,0.0857993,6.5359542534116315,2.425340073026667
7,prof_7,0.07780482830604239,0.175,0.0819918,6.245645663242954,2.494189682376423
8,prof_8,0.07747382612212358,0.175,0.0774354,5.89778958283452,2.5484994079002647
9,prof_9,0.07723679567500123,0.175,0.0720449,5.4857603163031,2.5888179105896962
10,prof_10,0.07708435844177286,0.175,0.0656764,4.998180839539486,2.61551116303697
11,prof_11,0.07699999209396453,0.175,0.0580515,4.413496767844407,2.62880546471986
12,prof_12,0.1837401335882308,0.0395115,0.0405837,2.4194934259466265,0.6126678176850813
13,prof_13,0.13107503268332804,0.16985224323541193,0.05329714236630869,4.017724967780509,0.8597467498298553
14,prof_14,0.10367815774533831,0.15705277615122282,0.04869966128553616,3.620410445793709,1.0880883925145972
15,prof_15,0.08722957327447056,0.13027264956847756,0.04458186285288271,3.2215883909548495,1.2946373853203066
16,prof_16,0.07668055951311557,0.07563255074915197,0.04137521579333781,2.8212890716246193,1.474302405344304
17,prof_17,0.06986475545314041,0.04906629426951104,0.04017997780145638,2.419543557580738,1.6198439294030769
18,prof_18,0.07699999209396453,0.0395115,0.0405837,2.4194934259466265,2.62880546471986
