p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,diameter
-1.123196,-0.658922,3.590858,-1.014197,-0.682069,3.407109,2.0
-1.051436,-1.937954,3.337051,-0.942461,-1.898143,3.164487,2.0
-0.90765,-3.097783,2.749708,-0.791988,-3.052266,2.575994,2.0
-0.692391,-3.921859,1.777294,-0.616812,-3.825134,1.648422,2.0
-1.014197,-0.682069,3.407109,-0.769331,-0.887905,1.721653,2.0
-0.942461,-1.898143,3.164487,-0.731702,-1.532504,1.590653,2.0
-0.791988,-3.052266,2.575994,-0.607355,-2.644934,1.01555,2.0
-0.616812,-3.825134,1.648422,-0.618402,-2.172485,-0.743695,2.0
-0.769331,-0.887905,1.721653,-0.711827,-1.113164,-0.195037,3.0
-0.731702,-1.532504,1.590653,-0.711827,-1.113164,-0.195037,3.0
-0.607355,-2.644934,1.01555,-0.618402,-2.172485,-0.743695,3.0
-0.711827,-1.113164,-0.195037,-0.633144,-0.941442,-3.901961,4.0
-0.618402,-2.172485,-0.743695,-0.633144,-0.941442,-3.901961,4.0
-0.633144,-0.941442,-3.901961,-0.630632,-0.910001,-4.099458,5.0
-0.966125,-0.659453,3.597625,-1.014197,-0.682069,3.407109,2.0
-0.901698,-1.939381,3.341088,-0.942461,-1.898143,3.164487,2.0
-0.773223,-3.097418,2.749241,-0.791988,-3.052266,2.575994,2.0
-0.589225,-3.908574,1.773243,-0.616812,-3.825134,1.648422,2.0
-0.362112,-0.670112,3.733556,-0.769331,-0.887905,1.721653,2.0
-0.32614,-1.977801,3.449767,-0.731702,-1.532504,1.590653,2.0
-0.256835,-3.148563,2.814703,-0.607355,-2.644934,1.01555,2.0
1.204082,-0.654966,3.540403,0.473306,-1.155974,-0.902939,2.0
1.167853,-1.92072,3.288303,0.473306,-1.155974,-0.902939,2.0
1.085876,-3.06996,2.714095,0.396111,-1.921865,-1.309919,2.0
0.839226,-3.891515,1.768042,0.396111,-1.921865,-1.309919,2.0
0.61538,-4.142726,0.875716,0.630484,-3.821673,0.392361,2.0
0.791897,-4.137746,0.864315,0.630484,-3.821673,0.392361,2.0
0.473306,-1.155974,-0.902939,0.089481,-1.087879,-3.228214,2.0
0.396111,-1.921865,-1.309919,0.089481,-1.087879,-3.228214,2.0
0.630484,-3.821673,0.392361,-0.021095,-0.954417,-3.906964,2.0
0.089481,-1.087879,-3.228214,-0.021095,-0.954417,-3.906964,3.0
-0.021095,-0.954417,-3.906964,-0.052295,-0.910001,-4.099458,4.0
