LE_x,LE_y,LE_z,TE_x,TE_y,TE_z,d_tube,camber,is_strut
0.52218,4.100957,0.921215,0.86682,4.152601,0.932607,0.3225132246121334,0.0405837,False
0.263184,4.105533,0.971623,0.874727,4.141856,0.979216,0.1837401335882308,0.043495,False
0.028112,4.099444,1.049881,0.887481,4.124523,1.054402,0.13107503268332804,0.0464063,False
-0.183243,4.085799,1.154511,0.904737,4.101072,1.156125,0.10367815774533831,0.0493176,False
-0.368472,4.065552,1.28343,0.926149,4.071974,1.282342,0.08722957327447056,0.0522289,False
-0.522929,4.039112,1.43433,0.951369,4.0377,1.431014,0.07668055951311557,0.0551402,False
-0.639766,4.006563,1.604842,0.980052,3.998721,1.600098,0.06986475545314041,0.0580515,False
-0.709238,3.967978,1.791356,1.011852,3.955506,1.787553,0.08805852729442161,0.0580515,True
-0.79088,3.80535,2.209568,1.189372,3.789238,2.199439,0.08183479490264242,0.0656764,False
-0.864219,3.501223,2.540205,1.256822,3.485499,2.522089,0.08053596122712194,0.0720449,False
-0.929298,3.134335,2.796493,1.310901,3.116753,2.773988,0.07956414448333324,0.0774354,True
-0.986158,2.7983,3.092998,1.354755,2.780285,3.065722,0.0788201065048211,0.0819918,False
-1.034831,2.393198,3.288677,1.390237,2.380855,3.254511,0.07824552198289325,0.0857993,False
-1.075348,1.959729,3.398648,1.41853,1.946587,3.361473,0.07780482830604239,0.0889127,True
-1.107733,1.553762,3.587398,1.440421,1.540958,3.547442,0.07747382612212358,0.0913686,False
-1.132004,1.111239,3.671702,1.456442,1.107796,3.627957,0.07723679567500123,0.0931918,False
-1.148177,0.664252,3.658834,1.466944,0.660721,3.613797,0.07708435844177286,0.0943989,True
-1.156262,0.225013,3.741837,1.472144,0.220752,3.696209,0.07699999209396453,0.095,False
-1.156262,-0.225013,3.741837,1.472144,-0.220752,3.696209,0.07699999209396453,0.095,False
-1.148177,-0.664252,3.658834,1.466944,-0.660721,3.613797,0.07708435844177286,0.0943989,True
-1.132004,-1.111239,3.671702,1.456442,-1.107796,3.627957,0.07723679567500123,0.0931918,False
-1.107733,-1.553762,3.587398,1.440421,-1.540958,3.547442,0.07747382612212358,0.0913686,False
-1.075348,-1.959729,3.398648,1.41853,-1.946587,3.361473,0.07780482830604239,0.0889127,True
-1.034831,-2.393198,3.288677,1.390237,-2.380855,3.254511,0.07824552198289325,0.0857993,False
-0.986158,-2.7983,3.092998,1.354755,-2.780285,3.065722,0.0788201065048211,0.0819918,False
-0.929298,-3.134335,2.796493,1.310901,-3.116753,2.773988,0.07956414448333324,0.0774354,True
-0.864219,-3.501223,2.540205,1.256822,-3.485499,2.522089,0.08053596122712194,0.0720449,False
-0.79088,-3.80535,2.209568,1.189372,-3.789238,2.199439,0.08183479490264242,0.0656764,False
-0.709238,-3.967978,1.791356,1.011852,-3.955506,1.787553,0.08805852729442161,0.0580515,True
-0.639766,-4.006563,1.604842,0.980052,-3.998721,1.600098,0.06986475545314041,0.0580515,False
-0.522929,-4.039112,1.43433,0.951369,-4.0377,1.431014,0.07668055951311557,0.0551402,False
-0.368472,-4.065552,1.28343,0.926149,-4.071974,1.282342,0.08722957327447056,0.0522289,False
-0.183243,-4.085799,1.154511,0.904737,-4.101072,1.156125,0.10367815774533831,0.0493176,False
0.028112,-4.099444,1.049881,0.887481,-4.124523,1.054402,0.13107503268332804,0.0464063,False
0.263184,-4.105533,0.971623,0.874727,-4.141856,0.979216,0.1837401335882308,0.043495,False
0.52218,-4.100957,0.921215,0.86682,-4.152601,0.932607,0.3225132246121334,0.0405837,False
