LE_x,LE_y,LE_z,TE_x,TE_y,TE_z,d_tube,camber
-0.520832,4.156287,0.916618,0.864107,4.156287,0.916618,0.10335689875149735,0.040334
-0.709238,3.967978,1.791356,1.011852,3.955506,1.787553,0.08805852729442161,0.058051
-0.79088,3.80535,2.209568,1.189372,3.789238,2.199439,0.08183479490264242,0.065676
-0.864219,3.501223,2.540205,1.256822,3.485499,2.522089,0.08053596122712194,0.072045
-0.929298,3.134335,2.796493,1.310901,3.116753,2.773988,0.07956414448333324,0.077435
-0.986158,2.7983,3.092998,1.354755,2.780285,3.065722,0.0788201065048211,0.081992
-1.034831,2.393198,3.288677,1.390237,2.380855,3.254511,0.07824552198289325,0.085799
-1.075348,1.959729,3.398648,1.41853,1.946587,3.361473,0.07780482830604239,0.088913
-1.107733,1.553762,3.587398,1.440421,1.540958,3.547442,0.07747382612212358,0.091369
-1.132004,1.111239,3.671702,1.456442,1.107796,3.627957,0.07723679567500123,0.093192
-1.148177,0.664252,3.658834,1.466944,0.660721,3.613797,0.07708435844177286,0.094399
-1.156262,0.225013,3.741837,1.472144,0.220752,3.696209,0.07699999209396453,0.095
-1.156262,-0.225013,3.741837,1.472144,-0.220752,3.696209,0.07699999209396453,0.095
-1.148177,-0.664252,3.658834,1.466944,-0.660721,3.613797,0.07708435844177286,0.094399
-1.132004,-1.111239,3.671702,1.456442,-1.107796,3.627957,0.07723679567500123,0.093192
-1.107733,-1.553762,3.587398,1.440421,-1.540958,3.547442,0.07747382612212358,0.091369
-1.075348,-1.959729,3.398648,1.41853,-1.946587,3.361473,0.07780482830604239,0.088913
-1.034831,-2.393198,3.288677,1.390237,-2.380855,3.254511,0.07824552198289325,0.085799
-0.986158,-2.7983,3.092998,1.354755,-2.780285,3.065722,0.0788201065048211,0.081992
-0.929298,-3.134335,2.796493,1.310901,-3.116753,2.773988,0.07956414448333324,0.077435
-0.864219,-3.501223,2.540205,1.256822,-3.485499,2.522089,0.08053596122712194,0.072045
-0.79088,-3.80535,2.209568,1.189372,-3.789238,2.199439,0.08183479490264242,0.065676
-0.709238,-3.967978,1.791356,1.011852,-3.955506,1.787553,0.08805852729442161,0.058051
-0.520832,-4.156287,0.916618,0.864107,-4.156287,0.916618,0.10335689875149735,0.040334
